0.667, BMU_checkFailed, BSPD_FAILED
0.667, BMU_InterlockInitialized, 0
0.669, VoltageCellMuxSelect, 12
0.669, VoltageCell37, 3.2183
0.669, VoltageCell38, 3.4577
0.669, VoltageCell39, 3.4488000000000003
0.71, VCU_wheelSpeed_RL, 0.0
0.71, VCU_wheelSpeed_RR, 0.0
0.71, AdjustedVoltageCellMuxSelect, 12
0.71, AdjustedVoltageCell37, 3.2179
0.71, AdjustedVoltageCell38, 3.458
0.71, AdjustedVoltageCell39, 3.4488000000000003
0.71, RLSpeedKPH, 0.0
0.71, RRSpeedKPH, 0.0
0.71, FLSpeedKPH, 0.0
0.71, FRSpeedKPH, 0.0
0.71, ChannelCurrentRadiator, 0.214
0.71, ChannelCurrentAccFan, 0.241
0.71, ChannelCurrentPump1, 0.0
0.71, ChannelCurrentPump2, 0.17400000000000002
0.71, ChannelCurrentAUX1, 0.0
0.71, ChannelCurrentAUX2, 0.214
0.71, ChannelCurrentAUX3, 0.0
0.71, ChannelCurrentAUX4, 0.228
0.71, ChannelCurrentBMU, 0.51
0.71, ChannelCurrentCDU, 0.389
0.71, ChannelCurrentTCU, 0.34900000000000003
0.71, ChannelCurrentWSB, 0.684
0.71, ChannelCurrentBrakeLight, 0.026000000000000002
0.71, ChannelCurrentInverter, 0.0
0.71, TempChannelMuxSelect, 12
0.71, TempChannel37, 0.0
0.71, TempChannel38, 0.0
0.71, TempChannel39, 0.0
0.71, TCTorqueMax, 3.392
0.71, TCLeftSlip, -0.999
0.71, TCRightSlip, -0.999
0.71, TCTorqueAdjustment, 0.0
0.71, IVT_MsgID_RX, 1
0.71, IVT_MsgCount, 9
0.71, IVT_Result_state, 0
0.71, IVT_U1, -0.022
0.71, IVT_MsgID_RX, 2
0.71, IVT_MsgCount, 9
0.71, IVT_Result_state, 0
0.71, IVT_U2, -0.004
0.71, IVT_MsgID_RX, 3
0.71, IVT_MsgCount, 9
0.71, IVT_Result_state, 0
0.71, IVT_U3, 0.07
0.71, IVT_MsgID_RX, 5
0.71, IVT_MsgCount, 11
0.71, IVT_Result_state, 0
0.71, IVT_W, 0
0.711, IVT_MsgID_RX, 0
0.711, IVT_MsgCount, 11
0.711, IVT_Result_state, 0
0.711, IVT_I, 0.0
0.711, IVT_MsgID_RX, 7
0.711, IVT_MsgCount, 2
0.711, IVT_Result_state, 0
0.711, IVT_Wh, 0
0.711, ThrottlePercent, 0
0.711, BrakePercent, 37
0.711, FrontBrakePressure, 59
0.711, SteeringAngle, -51
0.711, BrakeWhileThrottle, 0
0.711, VoltageCellMuxSelect, 13
0.711, VoltageCell40, 3.4465000000000003
0.711, VoltageCell41, 3.319
0.711, VoltageCell42, 3.3566000000000003
0.711, AdjustedVoltageCellMuxSelect, 13
0.711, AdjustedVoltageCell40, 3.4464
0.711, AdjustedVoltageCell41, 3.3188
0.711, AdjustedVoltageCell42, 3.3566000000000003
0.711, IVT_MsgID_RX, 5
0.711, IVT_MsgCount, 12
0.711, IVT_Result_state, 0
0.711, IVT_W, 0
0.711, IVT_MsgID_RX, 0
0.711, IVT_MsgCount, 12
0.711, IVT_Result_state, 0
0.711, IVT_I, -0.002
0.711, TempChannelMuxSelect, 13
0.711, TempChannel40, 0.0
0.711, TempChannel41, 0.0
0.711, TempChannel42, 21.85000000000001
0.711, VCU_wheelSpeed_RL, 0.0
0.711, VCU_wheelSpeed_RR, 0.0
0.711, ThrottlePercent, 0
0.711, BrakePercent, 37
0.711, FrontBrakePressure, 60
0.711, SteeringAngle, -51
0.711, BrakeWhileThrottle, 0
0.711, RLSpeedKPH, 0.0
0.711, RRSpeedKPH, 0.0
0.711, FLSpeedKPH, 0.0
0.711, FRSpeedKPH, 0.0
0.711, TCTorqueMax, 3.392
0.711, TCLeftSlip, -0.999
0.711, TCRightSlip, -0.999
0.711, TCTorqueAdjustment, 0.0
0.76, IVT_MsgID_RX, 7
0.76, IVT_MsgCount, 3
0.76, IVT_Result_state, 0
0.76, IVT_Wh, 0
0.76, IVT_MsgID_RX, 5
0.76, IVT_MsgCount, 13
0.76, IVT_Result_state, 0
0.76, IVT_W, 0
0.76, IVT_MsgID_RX, 0
0.76, IVT_MsgCount, 13
0.76, IVT_Result_state, 0
0.76, IVT_I, 0.0
0.761, ThrottlePercent, 0
0.761, BrakePercent, 37
0.761, FrontBrakePressure, 61
0.761, SteeringAngle, -51
0.761, BrakeWhileThrottle, 0
0.761, IVT_MsgID_RX, 1
0.761, IVT_MsgCount, 10
0.761, IVT_Result_state, 0
0.761, IVT_U1, 0.002
0.761, IVT_MsgID_RX, 2
0.761, IVT_MsgCount, 10
0.761, IVT_Result_state, 0
0.761, IVT_U2, 0.022
0.761, IVT_MsgID_RX, 3
0.761, IVT_MsgCount, 10
0.761, IVT_Result_state, 0
0.761, IVT_U3, 0.006
0.761, IVT_MsgID_RX, 5
0.761, IVT_MsgCount, 14
0.761, IVT_Result_state, 0
0.761, IVT_W, 0
0.761, IVT_MsgID_RX, 0
0.761, IVT_MsgCount, 14
0.761, IVT_Result_state, 0
0.761, IVT_I, 0.003
0.761, VCU_wheelSpeed_RL, 0.0
0.761, VCU_wheelSpeed_RR, 0.0
0.761, RLSpeedKPH, 0.0
0.761, RRSpeedKPH, 0.0
0.761, FLSpeedKPH, 0.0
0.761, FRSpeedKPH, 0.0
0.761, IVT_MsgID_RX, 7
0.761, IVT_MsgCount, 4
0.761, IVT_Result_state, 0
0.761, IVT_Wh, 0
0.761, TCTorqueMax, 3.392
0.761, TCLeftSlip, -0.999
0.761, TCRightSlip, -0.999
0.761, TCTorqueAdjustment, 0.0
0.761, BMU_checkFailed, BSPD_FAILED
0.761, BMU_InterlockInitialized, 0
0.761, VoltageCellMuxSelect, 14
0.761, VoltageCell43, 3.3587000000000002
0.761, VoltageCell44, 3.3587000000000002
0.761, VoltageCell45, 3.3558000000000003
0.761, ThrottlePercent, 0
0.761, BrakePercent, 37
0.761, FrontBrakePressure, 58
0.761, SteeringAngle, -51
0.761, BrakeWhileThrottle, 0
0.761, AdjustedVoltageCellMuxSelect, 14
0.761, AdjustedVoltageCell43, 3.3587000000000002
0.761, AdjustedVoltageCell44, 3.3587000000000002
0.761, AdjustedVoltageCell45, 3.3558000000000003
0.762, TempChannelMuxSelect, 14
0.762, TempChannel43, 21.650000000000006
0.762, TempChannel44, 21.689999999999998
0.762, TempChannel45, 21.689999999999998
0.762, IVT_MsgID_RX, 5
0.762, IVT_MsgCount, 15
0.762, IVT_Result_state, 0
0.762, IVT_W, 0
0.762, IVT_MsgID_RX, 0
0.762, IVT_MsgCount, 15
0.762, IVT_Result_state, 0
0.762, IVT_I, 0.003
0.81, VoltageBusHV, 0.0
0.81, VoltageCellMax, 3.5544000000000002
0.81, VoltageCellMin, 2.9569
0.81, CurrentBusHV, 0.0
0.81, ThrottlePercent, 0
0.81, BrakePercent, 37
