0.497, BMU_checkFailed, BSPD_FAILED
0.497, BMU_InterlockInitialized, 0
0.498, VoltageCellMuxSelect, 10
0.498, VoltageCell31, 3.0905
0.498, VoltageCell32, 3.261
0.498, VoltageCell33, 3.2657000000000003
0.499, IVT_MsgID_RX, 0
0.499, IVT_MsgCount, 2
0.499, IVT_Result_state, 0
0.499, IVT_I, 0.0
0.537, IVT_MsgID_RX, 1
0.537, IVT_MsgCount, 6
0.537, IVT_Result_state, 0
0.537, IVT_U1, 0.024
0.537, IVT_MsgID_RX, 2
0.537, IVT_MsgCount, 6
0.537, IVT_Result_state, 0
0.537, IVT_U2, 0.012
0.537, IVT_MsgID_RX, 3
0.537, IVT_MsgCount, 6
0.537, IVT_Result_state, 0
0.537, IVT_U3, 0.029
0.537, IVT_MsgID_RX, 5
0.537, IVT_MsgCount, 2
0.537, IVT_Result_state, 0
0.537, IVT_W, 0
0.537, AdjustedVoltageCellMuxSelect, 10
0.537, AdjustedVoltageCell31, 3.0901
0.537, AdjustedVoltageCell32, 3.2609000000000004
0.537, AdjustedVoltageCell33, 3.2656
0.537, TempChannelMuxSelect, 10
0.537, TempChannel31, 0.0
0.537, TempChannel32, 0.0
0.537, TempChannel33, 0.0
0.537, IVT_MsgID_RX, 7
0.537, IVT_MsgCount, 12
0.537, IVT_Result_state, 0
0.537, IVT_Wh, 0
0.537, VoltageBusHV, 0.02
0.537, VoltageCellMax, 3.5797000000000003
0.537, VoltageCellMin, 3.0901
0.537, CurrentBusHV, 0.0
0.537, VCU_wheelSpeed_RL, 0.0
0.537, VCU_wheelSpeed_RR, 0.0
0.537, RLSpeedKPH, 0.0
0.537, RRSpeedKPH, 0.0
0.537, FLSpeedKPH, 0.0
0.537, FRSpeedKPH, 0.0
0.537, AMS_PackVoltage, 468.14
0.537, TCTorqueMax, 3.392
0.537, TCLeftSlip, -0.999
0.537, TCRightSlip, -0.999
0.537, TCTorqueAdjustment, 0.0
0.538, IVT_MsgID_RX, 0
0.538, IVT_MsgCount, 3
0.538, IVT_Result_state, 0
0.538, IVT_I, -0.001
0.538, IVT_MsgID_RX, 5
0.538, IVT_MsgCount, 3
0.538, IVT_Result_state, 0
0.538, IVT_W, 0
0.538, ThrottlePercent, 0
0.538, BrakePercent, 0
0.538, FrontBrakePressure, 12
0.538, SteeringAngle, -59
0.538, BrakeWhileThrottle, 0
0.538, IVT_MsgID_RX, 7
0.538, IVT_MsgCount, 13
0.538, IVT_Result_state, 0
0.538, IVT_Wh, 0
0.538, IVT_MsgID_RX, 0
0.538, IVT_MsgCount, 4
0.538, IVT_Result_state, 0
0.538, IVT_I, 0.0
0.538, IVT_MsgID_RX, 5
0.538, IVT_MsgCount, 4
0.538, IVT_Result_state, 0
0.538, IVT_W, 0
0.587, ThrottlePercent, 0
0.587, BrakePercent, 0
0.587, FrontBrakePressure, 7
0.587, SteeringAngle, -59
0.587, BrakeWhileThrottle, 0
0.587, StateBatteryChargeHV, 27.1
0.587, StateBatteryHealthHV, 0.0
0.587, StateBatteryPowerHV, 331.90000000000003
0.587, TempCellMax, 156.0
0.587, TempCellMin, 55.0
