00000079, RLSpeedKPH, 0.0
00000079, RRSpeedKPH, 0.0
00000079, FLSpeedKPH, 0.0
00000079, FRSpeedKPH, 0.0
000000A7, TCTorqueMax, 3.392
000000A7, TCLeftSlip, -0.999
000000A7, TCRightSlip, -0.999
000000A7, TCTorqueAdjustment, 0.0
000000A7, VoltageBusHV, 0.0
000000A7, VoltageCellMax, 0.0
000000A7, VoltageCellMin, 0.0
000000A7, CurrentBusHV, 0.0
000000A7, VoltageCellMuxSelect, 2
000000A7, VoltageCell07, 3.5
000000A7, VoltageCell08, 3.5
000000A7, VoltageCell09, 3.5
000000A7, AMS_PackVoltage, 0.0
000000A7, AdjustedVoltageCellMuxSelect, 2
000000A7, AdjustedVoltageCell07, 0.0
000000A7, AdjustedVoltageCell08, 0.0
000000A7, AdjustedVoltageCell09, 0.0
000000A7, TempChannelMuxSelect, 2
000000A7, TempChannel07, 0.0
000000A7, TempChannel08, 0.0
000000A7, TempChannel09, 0.0
000000A7, VCU_wheelSpeed_RL, 0.0
000000A7, VCU_wheelSpeed_RR, 0.0
000000A8, RLSpeedKPH, 0.0
000000A8, RRSpeedKPH, 0.0
000000A8, FLSpeedKPH, 0.0
000000A8, FRSpeedKPH, 0.0
000000A8, TCTorqueMax, 3.392
000000A8, TCLeftSlip, -0.999
000000A8, TCRightSlip, -0.999
000000A8, TCTorqueAdjustment, 0.0
000000D9, VoltageCellMuxSelect, 3
000000D9, VoltageCell10, 3.5
000000D9, VoltageCell11, 3.5
000000D9, VoltageCell12, 3.5
000000D9, AdjustedVoltageCellMuxSelect, 3
000000D9, AdjustedVoltageCell10, 0.0
000000D9, AdjustedVoltageCell11, 0.0
000000D9, AdjustedVoltageCell12, 0.0
000000D9, TempChannelMuxSelect, 3
000000D9, TempChannel10, 0.0
000000D9, TempChannel11, 0.0
000000D9, TempChannel12, 0.0
000000D9, VCU_wheelSpeed_RL, 0.0
000000D9, VCU_wheelSpeed_RR, 0.0
000000D9, RLSpeedKPH, 0.0
000000D9, RRSpeedKPH, 0.0
000000D9, FLSpeedKPH, 0.0
000000D9, FRSpeedKPH, 0.0
000000DA, TCTorqueMax, 3.392
000000DA, TCLeftSlip, -0.999
000000DA, TCRightSlip, -0.999
000000DA, TCTorqueAdjustment, 0.0
0000010B, VCU_wheelSpeed_RL, 0.0
0000010B, VCU_wheelSpeed_RR, 0.0
0000010B, RLSpeedKPH, 0.0
0000010B, RRSpeedKPH, 0.0
0000010B, FLSpeedKPH, 0.0
0000010B, FRSpeedKPH, 0.0
0000010B, VoltageCellMuxSelect, 4
0000010B, VoltageCell13, 3.7404
0000010B, VoltageCell14, 3.7404
0000010B, VoltageCell15, 3.7402
0000010B, TCTorqueMax, 3.392
0000010B, TCLeftSlip, -0.999
0000010B, TCRightSlip, -0.999
0000010B, TCTorqueAdjustment, 0.0
0000010B, VoltageBusHV, 0.0
0000010B, VoltageCellMax, 0.0
0000010B, VoltageCellMin, 0.0
0000010B, CurrentBusHV, 0.0
0000010B, AMS_PackVoltage, 0.0
0000010B, AdjustedVoltageCellMuxSelect, 4
0000010B, AdjustedVoltageCell13, 0.0
0000010B, AdjustedVoltageCell14, 0.0
0000010B, AdjustedVoltageCell15, 0.0
0000010C, TempChannelMuxSelect, 4
0000010C, TempChannel13, 0.0
0000010C, TempChannel14, 0.0
0000010C, TempChannel15, 0.0
0000010C, VCU_wheelSpeed_RL, 0.0
0000010C, VCU_wheelSpeed_RR, 0.0
