0000004C, AMS_PackVoltage, 0.0
0000004D, AdjustedVoltageCellMuxSelect, 2
0000004D, AdjustedVoltageCell07, 0.0
0000004D, AdjustedVoltageCell08, 0.0
0000004D, AdjustedVoltageCell09, 0.0
0000004E, TempChannelMuxSelect, 2
0000004E, TempChannel07, 0.0
0000004E, TempChannel08, 0.0
0000004E, TempChannel09, 0.0
00000065, VCU_wheelSpeed_RL, 0.0
00000065, VCU_wheelSpeed_RR, 0.0
00000067, RLSpeedKPH, 0.0
00000067, RRSpeedKPH, 0.0
00000067, FLSpeedKPH, 0.0
00000067, FRSpeedKPH, 0.0
00000069, TCTorqueMax, 3.392
00000069, TCLeftSlip, -0.999
00000069, TCRightSlip, -0.999
00000069, TCTorqueAdjustment, 0.0
0000007B, VoltageCellMuxSelect, 3
0000007B, VoltageCell10, 3.5
0000007B, VoltageCell11, 3.5
0000007B, VoltageCell12, 3.5
0000007D, AdjustedVoltageCellMuxSelect, 3
0000007D, AdjustedVoltageCell10, 0.0
0000007D, AdjustedVoltageCell11, 0.0
0000007D, AdjustedVoltageCell12, 0.0
0000007E, TempChannelMuxSelect, 3
0000007E, TempChannel10, 0.0
0000007E, TempChannel11, 0.0
0000007E, TempChannel12, 0.0
00000088, VCU_wheelSpeed_RL, 0.0
00000088, VCU_wheelSpeed_RR, 0.0
0000008A, RLSpeedKPH, 0.0
0000008A, RRSpeedKPH, 0.0
0000008A, FLSpeedKPH, 0.0
0000008A, FRSpeedKPH, 0.0
0000008C, TCTorqueMax, 3.392
0000008C, TCLeftSlip, -0.999
0000008C, TCRightSlip, -0.999
0000008C, TCTorqueAdjustment, 0.0
000000AB, VCU_wheelSpeed_RL, 0.0
000000AB, VCU_wheelSpeed_RR, 0.0
000000AD, RLSpeedKPH, 0.0
000000AD, RRSpeedKPH, 0.0
000000AD, FLSpeedKPH, 0.0
000000AD, FRSpeedKPH, 0.0
000000AF, TCTorqueMax, 3.392
000000AF, TCLeftSlip, -0.999
000000AF, TCRightSlip, -0.999
000000AF, TCTorqueAdjustment, 0.0
000000B0, StateBatteryChargeHV, 0.0
000000B0, StateBatteryHealthHV, 0.0
