0000006D, AMS_PackVoltage, 0.0
0000009C, AdjustedVoltageCellMuxSelect, 2
0000009C, AdjustedVoltageCell07, 0.0
0000009C, AdjustedVoltageCell08, 0.0
0000009C, AdjustedVoltageCell09, 0.0
0000009C, RLSpeedKPH, 0.0
0000009C, RRSpeedKPH, 0.0
0000009C, FLSpeedKPH, 0.0
0000009C, FRSpeedKPH, 0.0
0000009C, TCTorqueMax, 3.392
0000009C, TCLeftSlip, -0.999
0000009C, TCRightSlip, -0.999
0000009C, TCTorqueAdjustment, 0.0
0000009C, TempChannelMuxSelect, 2
0000009C, TempChannel07, 0.0
0000009C, TempChannel08, 0.0
0000009C, TempChannel09, 0.0
0000009C, IVT_MsgID_RX, 191
0000009C, IVT_respByte1, 4
0000009C, IVT_respByte2, 17
0000009C, IVT_respByte3, 0
0000009C, IVT_respByte4, 154
0000009C, IVT_respByte5, 208
0000009C, IVT_respByte6, 190
0000009C, IVT_respByte7, 0
0000009C, VCU_wheelSpeed_RL, 0.0
0000009C, VCU_wheelSpeed_RR, 0.0
0000009C, RLSpeedKPH, 0.0
0000009C, RRSpeedKPH, 0.0
0000009C, FLSpeedKPH, 0.0
0000009C, FRSpeedKPH, 0.0
0000009C, TCTorqueMax, 3.392
0000009C, TCLeftSlip, -0.999
0000009C, TCRightSlip, -0.999
0000009C, TCTorqueAdjustment, 0.0
000000CE, VoltageCellMuxSelect, 3
000000CE, VoltageCell10, 3.5
000000CE, VoltageCell11, 3.5
000000CE, VoltageCell12, 3.5
000000CE, AdjustedVoltageCellMuxSelect, 3
000000CE, AdjustedVoltageCell10, 0.0
000000CE, AdjustedVoltageCell11, 0.0
000000CE, AdjustedVoltageCell12, 0.0
000000CE, IVT_MsgID_RX, 0
000000CE, IVT_MsgCount, 1
000000CE, IVT_Result_state, 0
000000CE, IVT_I, 0.006
000000CE, TempChannelMuxSelect, 3
000000CE, TempChannel10, 0.0
000000CE, TempChannel11, 0.0
000000CE, TempChannel12, 0.0
000000CE, IVT_MsgID_RX, 7
000000CE, IVT_MsgCount, 1
000000CE, IVT_Result_state, 0
000000CE, IVT_Wh, 0
000000CF, ChannelCurrentRadiator, 0.201
000000CF, ChannelCurrentAccFan, 0.201
000000CF, ChannelCurrentPump1, 0.0
000000CF, ChannelCurrentPump2, 0.228
000000CF, ChannelCurrentAUX1, 0.0
000000CF, ChannelCurrentAUX2, 0.17400000000000002
000000CF, ChannelCurrentAUX3, 0.0
000000CF, ChannelCurrentAUX4, 0.187
000000CF, ChannelCurrentBMU, 0.51
000000CF, ChannelCurrentCDU, 0.362
000000CF, ChannelCurrentTCU, 0.375
000000CF, ChannelCurrentWSB, 0.751
000000D0, ChannelCurrentBrakeLight, 0.0
000000D0, ChannelCurrentInverter, 0.0
000000D0, VCU_wheelSpeed_RL, 0.0
000000D0, VCU_wheelSpeed_RR, 0.0
000000D0, RLSpeedKPH, 0.0
000000D0, RRSpeedKPH, 0.0
000000D0, FLSpeedKPH, 0.0
000000D0, FRSpeedKPH, 0.0
000000D0, IVT_MsgID_RX, 0
000000D0, IVT_MsgCount, 2
000000D0, IVT_Result_state, 0
000000D0, IVT_I, 0.004
000000D0, TCTorqueMax, 3.392
000000D0, TCLeftSlip, -0.999
000000D0, TCRightSlip, -0.999
000000D0, TCTorqueAdjustment, 0.0
000000D0, IVT_MsgID_RX, 0
000000D0, IVT_MsgCount, 3
000000D0, IVT_Result_state, 0
000000D0, IVT_I, 0.006
000000D0, IVT_MsgID_RX, 1
000000D0, IVT_MsgCount, 1
000000D0, IVT_Result_state, 0
000000D0, IVT_U1, -0.039
000000D0, IVT_MsgID_RX, 2
000000D0, IVT_MsgCount, 1
000000D0, IVT_Result_state, 0
000000D0, IVT_U2, -0.085
000000D1, IVT_MsgID_RX, 3
000000D1, IVT_MsgCount, 1
000000D1, IVT_Result_state, 0
000000D1, IVT_U3, 0.06
000000D1, IVT_MsgID_RX, 7
000000D1, IVT_MsgCount, 2
000000D1, IVT_Result_state, 0
000000D1, IVT_Wh, 0
00000100, VoltageBusHV, 0.0
00000100, VoltageCellMax, 0.0
00000100, VoltageCellMin, 0.0
00000100, CurrentBusHV, 0.0
00000100, AMS_PackVoltage, 0.0
00000101, VCU_wheelSpeed_RL, 0.0
00000101, VCU_wheelSpeed_RR, 0.0
00000101, RLSpeedKPH, 0.0
00000101, RRSpeedKPH, 0.0
00000101, FLSpeedKPH, 0.0
00000101, FRSpeedKPH, 0.0
00000101, TCTorqueMax, 3.392
00000101, TCLeftSlip, -0.999
00000101, TCRightSlip, -0.999
00000101, TCTorqueAdjustment, 0.0
00000101, IVT_MsgID_RX, 0
00000101, IVT_MsgCount, 4
00000101, IVT_Result_state, 0
00000101, IVT_I, 0.001
00000101, StateBatteryChargeHV, 0.0
00000101, StateBatteryHealthHV, 0.0
00000101, StateBatteryPowerHV, 331.90000000000003
00000101, TempCellMax, 156.0
00000101, TempCellMin, 55.0
00000101, StateBMS, Wait_System_Up
00000101, HighestTempThermistor, 0
00000101, BMU_checkFailed, BSPD_FAILED
00000101, BMU_InterlockInitialized, 0
00000102, VoltageCellMuxSelect, 4
00000102, VoltageCell13, 3.8691
00000102, VoltageCell14, 3.8703000000000003
00000102, VoltageCell15, 3.8714000000000004
00000102, AdjustedVoltageCellMuxSelect, 4
00000102, AdjustedVoltageCell13, 3.8691
00000102, AdjustedVoltageCell14, 3.8703000000000003
00000102, AdjustedVoltageCell15, 3.8714000000000004
00000102, TempChannelMuxSelect, 4
00000102, TempChannel13, 0.0
00000102, TempChannel14, 0.0
00000102, TempChannel15, 21.799999999999997
00000102, IVT_MsgID_RX, 7
00000102, IVT_MsgCount, 3
00000102, IVT_Result_state, 0
00000102, IVT_Wh, 0
00000102, IVT_MsgID_RX, 0
00000102, IVT_MsgCount, 5
00000102, IVT_Result_state, 0
00000102, IVT_I, 0.0
00000102, VCU_wheelSpeed_RL, 0.0
00000102, VCU_wheelSpeed_RR, 0.0
00000102, RLSpeedKPH, 0.0
00000102, RRSpeedKPH, 0.0
00000102, FLSpeedKPH, 0.0
00000102, FRSpeedKPH, 0.0
00000103, TCTorqueMax, 3.392
00000103, TCLeftSlip, -0.999
00000103, TCRightSlip, -0.999
00000103, TCTorqueAdjustment, 0.0
00000132, VoltageCellMuxSelect, 5
00000132, VoltageCell16, 3.8685
00000132, VoltageCell17, 3.8687
00000132, VoltageCell18, 3.9609
00000132, AdjustedVoltageCellMuxSelect, 5
00000132, AdjustedVoltageCell16, 3.8685
00000132, AdjustedVoltageCell17, 3.8687
00000132, AdjustedVoltageCell18, 3.9609
00000132, IVT_MsgID_RX, 0
00000132, IVT_MsgCount, 6
00000132, IVT_Result_state, 0
00000132, IVT_I, 0.001
00000132, IVT_MsgID_RX, 1
00000132, IVT_MsgCount, 2
00000132, IVT_Result_state, 0
00000132, IVT_U1, 0.008
00000132, TempChannelMuxSelect, 5
00000132, TempChannel16, 0.0
00000132, TempChannel17, 0.0
00000132, TempChannel18, 0.0
00000132, IVT_MsgID_RX, 2
00000132, IVT_MsgCount, 2
00000132, IVT_Result_state, 0
00000132, IVT_U2, -0.11
00000132, IVT_MsgID_RX, 3
00000132, IVT_MsgCount, 2
00000132, IVT_Result_state, 0
00000132, IVT_U3, 0.018000000000000002
00000132, IVT_MsgID_RX, 7
00000132, IVT_MsgCount, 4
00000132, IVT_Result_state, 0
00000132, IVT_Wh, 0
