0.74, BMU_checkFailed, BSPD_FAILED
0.74, BMU_InterlockInitialized, 0
0.783, VoltageCellMuxSelect, 14
0.783, VoltageCell43, 3.3177000000000003
0.783, VoltageCell44, 3.3171
0.783, VoltageCell45, 3.3135000000000003
0.783, AdjustedVoltageCellMuxSelect, 14
0.783, AdjustedVoltageCell43, 3.3176
0.783, AdjustedVoltageCell44, 3.317
0.783, AdjustedVoltageCell45, 3.3134
0.783, TempChannelMuxSelect, 14
0.783, TempChannel43, 50.71000000000001
0.783, TempChannel44, 50.69
0.783, TempChannel45, 54.50999999999999
0.783, IVT_MsgID_RX, 5
0.783, IVT_MsgCount, 15
0.783, IVT_Result_state, 0
0.783, IVT_W, 0
0.783, IVT_MsgID_RX, 0
0.783, IVT_MsgCount, 15
0.783, IVT_Result_state, 0
0.783, IVT_I, 0.002
0.783, VoltageBusHV, 0.0
0.783, VoltageCellMax, 3.548
0.783, VoltageCellMin, 2.7327000000000004
0.783, CurrentBusHV, 0.0
0.783, ThrottlePercent, 0
0.783, BrakePercent, 5
0.783, FrontBrakePressure, 15
0.783, SteeringAngle, -31
0.783, BrakeWhileThrottle, 0
0.783, AMS_PackVoltage, 452.11
0.783, ChannelCurrentRadiator, 0.214
0.783, ChannelCurrentAccFan, 0.241
0.783, ChannelCurrentPump1, 0.0
0.783, ChannelCurrentPump2, 0.228
0.783, ChannelCurrentAUX1, 0.0
0.783, ChannelCurrentAUX2, 0.161
0.783, ChannelCurrentAUX3, 0.0
0.783, ChannelCurrentAUX4, 0.228
0.783, ChannelCurrentBMU, 0.483
0.783, ChannelCurrentCDU, 0.362
0.783, ChannelCurrentTCU, 0.375
0.783, ChannelCurrentWSB, 0.684
0.783, ChannelCurrentBrakeLight, 0.0
0.783, ChannelCurrentInverter, 0.0
0.783, IVT_MsgID_RX, 7
0.783, IVT_MsgCount, 5
0.783, IVT_Result_state, 0
0.783, IVT_Wh, 0
0.783, VCU_wheelSpeed_RL, 0.0
0.783, VCU_wheelSpeed_RR, 0.0
0.784, IVT_MsgID_RX, 5
0.784, IVT_MsgCount, 0
0.784, IVT_Result_state, 0
0.784, IVT_W, 0
0.784, RLSpeedKPH, 0.0
0.784, RRSpeedKPH, 0.0
0.784, FLSpeedKPH, 0.0
0.784, FRSpeedKPH, 0.0
0.784, IVT_MsgID_RX, 0
0.784, IVT_MsgCount, 0
0.784, IVT_Result_state, 0
0.784, IVT_I, -0.002
0.784, TCTorqueMax, 3.392
0.784, TCLeftSlip, -0.999
0.784, TCRightSlip, -0.999
0.784, TCTorqueAdjustment, 0.0
0.784, StateBatteryChargeHV, 16.7
0.784, StateBatteryHealthHV, 0.0
0.784, StateBatteryPowerHV, 331.90000000000003
0.784, TempCellMax, 156.0
0.784, TempCellMin, 55.0
0.784, StateBMS, Wait_System_Up
0.784, HighestTempThermistor, 0
0.784, ThrottlePercent, 0
0.784, BrakePercent, 5
0.784, FrontBrakePressure, 20
0.784, SteeringAngle, -31
0.784, BrakeWhileThrottle, 0
0.833, VoltageCellMuxSelect, 15
0.833, VoltageCell46, 3.3184
0.833, VoltageCell47, 3.2831
0.833, VoltageCell48, 3.548
0.833, IVT_MsgID_RX, 1
0.833, IVT_MsgCount, 11
0.833, IVT_Result_state, 0
0.833, IVT_U1, -0.039
0.833, IVT_MsgID_RX, 2
0.833, IVT_MsgCount, 11
0.833, IVT_Result_state, 0
0.833, IVT_U2, 0.041
0.833, IVT_MsgID_RX, 3
0.833, IVT_MsgCount, 11
0.833, IVT_Result_state, 0
0.833, IVT_U3, 0.035
0.833, IVT_MsgID_RX, 5
0.833, IVT_MsgCount, 1
0.833, IVT_Result_state, 0
0.833, IVT_W, 0
0.833, IVT_MsgID_RX, 0
0.833, IVT_MsgCount, 1
0.833, IVT_Result_state, 0
0.833, IVT_I, 0.005
0.833, AdjustedVoltageCellMuxSelect, 15
0.833, AdjustedVoltageCell46, 3.3183000000000002
0.833, AdjustedVoltageCell47, 3.2822
0.833, AdjustedVoltageCell48, 3.5486
0.833, TempChannelMuxSelect, 15
0.833, TempChannel46, 49.71000000000001
0.833, TempChannel47, 0.0
0.833, TempChannel48, 0.0
0.833, IVT_MsgID_RX, 7
0.833, IVT_MsgCount, 6
0.833, IVT_Result_state, 0
0.833, IVT_Wh, 0
0.834, ThrottlePercent, 0
0.834, BrakePercent, 5
0.834, FrontBrakePressure, 15
0.834, SteeringAngle, -31
0.834, BrakeWhileThrottle, 0
0.834, VCU_wheelSpeed_RL, 0.0
