00000135, BMU_checkFailed, BSPD_FAILED
00000135, BMU_InterlockInitialized, 0
0000015B, VoltageCellMuxSelect, 6
0000015B, VoltageCell19, 3.4126000000000003
0000015B, VoltageCell20, 3.4145000000000003
0000015B, VoltageCell21, 3.1989
0000015B, VCU_wheelSpeed_RL, 0.0
0000015B, VCU_wheelSpeed_RR, 0.0
0000015B, IVT_MsgID_RX, 0
0000015B, IVT_MsgCount, 8
0000015B, IVT_Result_state, 0
0000015B, IVT_I, -0.001
0000015B, AdjustedVoltageCellMuxSelect, 6
0000015B, AdjustedVoltageCell19, 3.4125
0000015B, AdjustedVoltageCell20, 3.4145000000000003
0000015B, AdjustedVoltageCell21, 3.1989
0000015B, RLSpeedKPH, 0.0
0000015B, RRSpeedKPH, 0.0
0000015B, FLSpeedKPH, 0.0
0000015B, FRSpeedKPH, 0.0
0000015B, TCTorqueMax, 3.392
0000015B, TCLeftSlip, -0.999
0000015B, TCRightSlip, -0.999
0000015B, TCTorqueAdjustment, 0.0
0000015B, VoltageBusHV, 0.0
0000015B, VoltageCellMax, 3.5397000000000003
0000015B, VoltageCellMin, 2.966
0000015B, CurrentBusHV, 0.0
0000015B, AMS_PackVoltage, 457.86
0000015C, IVT_MsgID_RX, 0
0000015C, IVT_MsgCount, 9
0000015C, IVT_Result_state, 0
0000015C, IVT_I, -0.003
0000015C, IVT_MsgID_RX, 1
0000015C, IVT_MsgCount, 3
0000015C, IVT_Result_state, 0
0000015C, IVT_U1, -0.062
0000015C, IVT_MsgID_RX, 2
0000015C, IVT_MsgCount, 3
0000015C, IVT_Result_state, 0
0000015C, IVT_U2, 0.064
0000015C, IVT_MsgID_RX, 3
0000015C, IVT_MsgCount, 3
0000015C, IVT_Result_state, 0
0000015C, IVT_U3, 0.047
0000015C, IVT_MsgID_RX, 7
0000015C, IVT_MsgCount, 6
0000015C, IVT_Result_state, 0
0000015C, IVT_Wh, 0
0000015E, StateBatteryChargeHV, 16.7
0000015E, StateBatteryHealthHV, 0.0
0000015E, StateBatteryPowerHV, 331.90000000000003
0000015E, TempCellMax, 156.0
