0.139, ThrottleAReading, 1607
0.139, ThrottleBReading, 2128
0.139, BrakeReading, 1421
0.139, ThrottleAPercent, 0.0
0.139, ThrottleBPercent, 0.0
0.186, ThrottleAReading, 1607
0.186, ThrottleBReading, 2128
0.186, BrakeReading, 1421
0.186, ThrottleAPercent, 0.0
0.186, ThrottleBPercent, 0.0
0.186, IVT_MsgID_RX, 191
0.186, IVT_respByte1, 4
0.186, IVT_respByte2, 17
0.186, IVT_respByte3, 0
0.186, IVT_respByte4, 154
0.186, IVT_respByte5, 208
0.186, IVT_respByte6, 190
0.186, IVT_respByte7, 0
0.186, ThrottleAReading, 1607
0.186, ThrottleBReading, 2128
0.186, BrakeReading, 1421
0.186, ThrottleAPercent, 0.0
0.186, ThrottleBPercent, 0.0
0.186, ThrottleAReading, 1607
0.186, ThrottleBReading, 2128
0.186, BrakeReading, 1421
0.186, ThrottleAPercent, 0.0
0.186, ThrottleBPercent, 0.0
0.186, ThrottleAReading, 1607
0.186, ThrottleBReading, 2128
0.186, BrakeReading, 1421
0.186, ThrottleAPercent, 0.0
0.186, ThrottleBPercent, 0.0
0.186, VoltageCellMuxSelect, 3
0.186, VoltageCell10, 3.5
0.186, VoltageCell11, 3.5
0.186, VoltageCell12, 3.5
0.186, AdjustedVoltageCellMuxSelect, 3
0.186, AdjustedVoltageCell10, 0.0
0.186, AdjustedVoltageCell11, 0.0
0.186, AdjustedVoltageCell12, 0.0
0.186, ThrottleAReading, 1607
0.186, ThrottleBReading, 2128
0.186, BrakeReading, 1421
0.186, ThrottleAPercent, 0.0
0.186, ThrottleBPercent, 0.0
0.186, TempChannelMuxSelect, 3
0.186, TempChannel10, 0.0
0.186, TempChannel11, 0.0
0.186, TempChannel12, 0.0
0.186, ThrottleAReading, 1607
0.186, ThrottleBReading, 2128
0.186, BrakeReading, 1421
0.186, ThrottleAPercent, 0.0
0.186, ThrottleBPercent, 0.0
0.186, ThrottleAReading, 1607
0.186, ThrottleBReading, 2128
0.186, BrakeReading, 1421
0.186, ThrottleAPercent, 0.0
0.186, ThrottleBPercent, 0.0
0.186, VCU_wheelSpeed_RL, 0.0
0.186, VCU_wheelSpeed_RR, 0.0
0.186, IVT_MsgID_RX, 0
0.186, IVT_MsgCount, 1
0.186, IVT_Result_state, 0
0.186, IVT_I, -0.007
0.186, ChannelCurrentRadiator, 0.214
0.186, ChannelCurrentAccFan, 0.214
0.186, ChannelCurrentPump1, 0.0
0.186, ChannelCurrentPump2, 0.201
0.187, ChannelCurrentAUX1, 0.0
0.187, ChannelCurrentAUX2, 0.214
0.187, ChannelCurrentAUX3, 0.0
0.187, ChannelCurrentAUX4, 0.201
0.187, RLSpeedKPH, 0.0
0.187, RRSpeedKPH, 0.0
0.187, FLSpeedKPH, 0.0
0.187, FRSpeedKPH, 0.0
0.187, ChannelCurrentBrakeLight, 0.0
0.187, ChannelCurrentInverter, 0.0
0.188, ChannelCurrentBMU, 0.617
0.188, ChannelCurrentCDU, 0.362
0.188, ChannelCurrentTCU, 0.308
0.188, ChannelCurrentWSB, 0.711
0.188, IVT_MsgID_RX, 5
0.188, IVT_MsgCount, 1
0.188, IVT_Result_state, 0
0.188, IVT_W, 0
0.188, ThrottleAReading, 1607
0.188, ThrottleBReading, 2128
0.188, BrakeReading, 1422
0.188, ThrottleAPercent, 0.0
0.188, ThrottleBPercent, 0.0
0.188, TCTorqueMax, 3.392
0.188, TCLeftSlip, -0.999
0.188, TCRightSlip, -0.999
0.188, TCTorqueAdjustment, 0.0
0.188, ThrottleAReading, 1607
0.188, ThrottleBReading, 2128
0.188, BrakeReading, 1422
0.188, ThrottleAPercent, 0.0
0.188, ThrottleBPercent, 0.0
0.188, IVT_MsgID_RX, 7
0.188, IVT_MsgCount, 1
0.188, IVT_Result_state, 0
0.188, IVT_Wh, 0
0.188, ThrottleAReading, 1607
0.188, ThrottleBReading, 2128
0.188, BrakeReading, 1422
0.188, ThrottleAPercent, 0.0
0.188, ThrottleBPercent, 0.0
0.188, ThrottleAReading, 1607
0.188, ThrottleBReading, 2128
0.188, BrakeReading, 1422
0.188, ThrottleAPercent, 0.0
0.188, ThrottleBPercent, 0.0
0.236, ThrottleAReading, 1607
0.236, ThrottleBReading, 2128
0.236, BrakeReading, 1422
0.236, ThrottleAPercent, 0.0
0.236, ThrottleBPercent, 0.0
0.236, IVT_MsgID_RX, 0
